protocol,N,bootstrap_runs,valid_plans_median,valid_plans_min,mae_mean,mae_median,mae_p25,mae_p75,mae_iqr,ks_mean,ks_median,ks_p25,ks_p75,ks_iqr,wasserstein_mean,wasserstein_median,wasserstein_p25,wasserstein_p75,wasserstein_iqr,bottom_decile_agreement_mean,bottom_decile_agreement_median,bottom_decile_agreement_p25,bottom_decile_agreement_p75,bottom_decile_agreement_iqr
General GYN with LNs Boost,10,50,20.0,20,0.1370787884508279,0.1329470511213932,0.1102683591992802,0.1547142596073517,0.0444459004080714,0.292,0.25,0.25,0.35,0.0999999999999999,0.1114463039275539,0.1052235289077394,0.0734068745581903,0.1286966414433519,0.0552897668851616,0.93,0.925,0.9,0.95,0.0499999999999999
General GYN with LNs Boost,20,50,20.0,20,0.1080365308907781,0.1026268678861558,0.0813110336301125,0.1254541159412482,0.0441430823111357,0.252,0.25,0.2,0.3,0.0999999999999999,0.0968841860277521,0.0915872480346164,0.0673301844354475,0.1155436432332717,0.0482134587978241,0.948,0.95,0.9,1.0,0.0999999999999999
General GYN with LNs Boost,30,50,20.0,20,0.0879983121399856,0.085660247707945,0.0685563710168973,0.0989061529357582,0.0303497819188608,0.215,0.2,0.15,0.25,0.0999999999999999,0.0740075143697735,0.0748140911233016,0.0504231687537608,0.0905773452408892,0.0401541764871284,0.927,0.9,0.9,1.0,0.0999999999999999
General GYN with LNs Boost,50,50,20.0,20,0.0599137404386939,0.0544627268340082,0.0446487479382216,0.0733791386262316,0.02873039068801,0.174,0.15,0.15,0.2,0.05,0.0487789218807292,0.0429988677225519,0.0348273971491577,0.0563505920249341,0.0215231948757763,0.961,1.0,0.9,1.0,0.0999999999999999
H&N Def LxHypo,10,50,20.0,20,0.0765145624995563,0.0681499867727167,0.0574156421869707,0.0922701139120608,0.0348544717250901,0.272,0.25,0.2,0.3375,0.1374999999999999,0.0603365452592944,0.0496349788199842,0.0375528772286428,0.0704022629616965,0.0328493857330537,0.956,1.0,0.9,1.0,0.0999999999999999
H&N Def LxHypo,20,50,20.0,20,0.0540299402147569,0.047865062973952,0.0414493258294107,0.0630796891766599,0.0216303633472492,0.2209999999999999,0.2,0.1999999999999999,0.25,0.05,0.041472209482122,0.0366981568972676,0.0282553727990824,0.047701063687802,0.0194456908887196,0.99,1.0,1.0,1.0,0.0
H&N Def LxHypo,30,50,20.0,20,0.0416286599818611,0.0382803385054845,0.0278259749492631,0.0465131500464705,0.0186871750972073,0.1869999999999999,0.1999999999999999,0.1499999999999999,0.2,0.0500000000000001,0.0322559550943086,0.0246488511921453,0.0189544263166738,0.0385129679571496,0.0195585416404757,1.0,1.0,1.0,1.0,0.0
H&N Def OC,10,50,30.0,30,0.0922655086211887,0.0852097003367613,0.0693489170946532,0.1139526425877957,0.0446037254931424,0.2826666666666667,0.2666666666666667,0.175,0.3666666666666667,0.1916666666666666,0.0829732711865916,0.0693458968894294,0.0519918191033897,0.1091051730389663,0.0571133539355766,0.9426666666666668,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.0
H&N Def OC,20,50,30.0,30,0.0575225622557511,0.0531092935155586,0.0456712788762709,0.0648374931415722,0.0191662142653012,0.1966666666666667,0.1833333333333333,0.1666666666666666,0.2333333333333333,0.0666666666666667,0.0444014861637447,0.0380287833126375,0.0294548482392155,0.053849898750817,0.0243950505116015,0.964,0.9333333333333332,0.9333333333333332,1.0,0.0666666666666666
H&N Def OC,30,50,30.0,30,0.0502400271717134,0.0468306592960855,0.0358031007809654,0.0589029162418194,0.0230998154608539,0.1979999999999999,0.1666666666666666,0.1416666666666667,0.2583333333333333,0.1166666666666666,0.0430288899241363,0.0391047227756521,0.0285518660671009,0.0516635556072408,0.0231116895401398,0.9853333333333332,1.0,1.0,1.0,0.0
H&N Def OC,50,50,30.0,30,0.0329526845628339,0.0324953108564797,0.0242691381829812,0.040038947699137,0.0157698095161557,0.156,0.1333333333333334,0.1333333333333333,0.1666666666666666,0.0333333333333333,0.0267679775931062,0.0261837012728092,0.0192211628374777,0.032048112356235,0.0128269495187573,0.9973333333333332,1.0,1.0,1.0,0.0
H&N Def OC,75,50,30.0,30,0.0255698863874214,0.025159518594928,0.0208215331501195,0.0292597173613901,0.0084381842112706,0.14,0.1333333333333333,0.1,0.1666666666666666,0.0666666666666665,0.0213425603063467,0.0194471219361371,0.0157617438517816,0.0251929203352075,0.0094311764834258,1.0,1.0,1.0,1.0,0.0
H&N Def OC,100,50,30.0,30,0.0241421275337582,0.0227095611890306,0.0200246954756843,0.02865924677651,0.0086345513008256,0.1566666666666666,0.1666666666666666,0.1333333333333333,0.1916666666666666,0.0583333333333333,0.0213021948167228,0.0202398940607037,0.01677412366325,0.025932969119436,0.0091588454561859,1.0,1.0,1.0,1.0,0.0
